,Movies,Links
0,Love by Drowning,ERROR
1,Mickey and the Bear,https://www.rottentomatoes.com/m/mickey_and_the_bear/reviews?type=top_critics
2,Hustlers,https://www.rottentomatoes.com/m/hustlers_2019/reviews?type=top_critics
3,Oppenheimer,https://www.rottentomatoes.com/m/oppenheimer_2023/reviews?type=top_critics
4,Another Round,https://www.rottentomatoes.com/m/another_round/reviews?type=top_critics
5,Spiral Farm,https://www.rottentomatoes.com/m/spiral_farm/reviews?type=top_critics
6,Evergreen,https://www.rottentomatoes.com/m/evergreen_2020/reviews?sort=fresh
7,Little Joe,https://www.rottentomatoes.com/m/little_joe/reviews?type=top_critics
8,The Painted Bird,https://www.rottentomatoes.com/m/the_painted_bird/reviews?type=top_critics
9,Creed III,https://www.rottentomatoes.com/m/creed_iii/reviews?type=top_critics
10,Edie,https://www.rottentomatoes.com/m/edie/reviews?type=top_critics
11,Goldie,https://www.rottentomatoes.com/m/goldie/reviews?type=top_critics
12,Light From Light,https://www.rottentomatoes.com/m/light_from_light/reviews?type=top_critics
13,Mr. Klein,https://www.rottentomatoes.com/m/mr_klein/reviews?type=top_critics
14,The Roads Not Taken,https://www.rottentomatoes.com/m/the_roads_not_taken/reviews?type=top_critics
15,Babyteeth,https://www.rottentomatoes.com/m/babyteeth/reviews?type=top_critics
16,Farewell Amor,https://www.rottentomatoes.com/m/farewell_amor/reviews?type=top_critics
17,Last Call,ERROR
18,Bang Bang,ERROR
19,Herself,https://www.rottentomatoes.com/m/herself/reviews?type=top_critics
20,The Other Lamb,https://www.rottentomatoes.com/m/the_other_lamb/reviews?type=top_critics
21,In the Life of Music,ERROR
22,Human Capital,https://www.rottentomatoes.com/m/human_capital_2019/reviews?type=top_critics
23,Resistance,https://www.rottentomatoes.com/m/resistance_2020/reviews?type=top_critics
24,Lie Exposed,https://www.rottentomatoes.com/m/lie_exposed/reviews?sort=rotten
25,AIR,https://www.rottentomatoes.com/m/air_2023/reviews?type=top_critics
26,Jesus Revolution,https://www.rottentomatoes.com/m/jesus_revolution/reviews?type=top_critics
27,The Artist’s Wife,https://www.rottentomatoes.com/m/the_artists_wife/reviews?type=top_critics
28,Stardust,https://www.rottentomatoes.com/m/stardust_2020/reviews?type=top_critics
29,Just One More Kiss,https://www.rottentomatoes.com/m/just_one_more_kiss/reviews?sort=rotten
30,The Truth,ERROR
31,Guest Artist,https://www.rottentomatoes.com/m/guest_artist/reviews?type=top_critics
32,You go to my Head,https://www.rottentomatoes.com/m/you_go_to_my_head/reviews?type=top_critics
33,Counter Column,https://www.rottentomatoes.com/m/counter_column/reviews?sort=rotten
34,Branagh Theatre Live: The W…,ERROR
35,"Never, Rarely, Sometimes, A…",https://www.rottentomatoes.com/m/never_rarely_sometimes_always/reviews?type=top_critics
36,Downtown 81,https://www.rottentomatoes.com/m/downtown_81/reviews?type=top_critics
37,Foster Boy,https://www.rottentomatoes.com/m/foster_boy/reviews?sort=fresh
38,Pandora and the Flying Dutc…,https://www.rottentomatoes.com/m/pandora_and_the_flying_dutchman/reviews?type=top_critics
39,Premature,https://www.rottentomatoes.com/m/premature_2020/reviews?type=top_critics
40,Cane River,https://www.rottentomatoes.com/m/cane_river/reviews?type=top_critics
41,Titanic,ERROR
42,Sorry We Missed You,https://www.rottentomatoes.com/m/sorry_we_missed_you/reviews?type=top_critics
43,Embattled,https://www.rottentomatoes.com/m/embattled/reviews?type=top_critics
44,Honey Boy,https://www.rottentomatoes.com/m/honey_boy/reviews?type=top_critics
45,True History Of The Kelly Gang,https://www.rottentomatoes.com/m/true_history_of_the_kelly_gang/reviews?type=top_critics
46,Juvenile Delinquents,https://www.rottentomatoes.com/m/juvenile_delinquents/reviews?sort=rotten
47,His Only Son,https://www.rottentomatoes.com/m/his_only_son/reviews?sort=fresh
48,The Whale,https://www.rottentomatoes.com/m/the_whale_2022/reviews?type=top_critics
49,Past Lives,https://www.rottentomatoes.com/m/past_lives/reviews?type=top_critics
50,Three Christs,https://www.rottentomatoes.com/m/three_christs/reviews?type=top_critics
51,Play the Flute,ERROR
52,Whitney Houston I Wanna Dan…,https://www.rottentomatoes.com/m/whitney_houston_i_wanna_dance_with_somebody/reviews?type=top_critics
53,The Godfather: Part III,https://www.rottentomatoes.com/m/godfather_part_iii/reviews?type=top_critics
54,Summerland,https://www.rottentomatoes.com/m/summerland_2020_2/reviews?type=top_critics
55,My Brothers’ Crossing,ERROR
56,The Hill,https://www.rottentomatoes.com/m/the_hill/reviews?type=top_critics
57,Percy,https://www.rottentomatoes.com/m/percy_vs_goliath/reviews?type=top_critics
58,On the Basis of Sex,https://www.rottentomatoes.com/m/on_the_basis_of_sex/reviews?type=top_critics
59,Tesla,https://www.rottentomatoes.com/m/tesla/reviews?type=top_critics
60,First Cow,https://www.rottentomatoes.com/m/first_cow/reviews?type=top_critics
61,Made in Italy,https://www.rottentomatoes.com/m/made_in_italy_2020/reviews?type=top_critics
62,Babylon,https://www.rottentomatoes.com/m/babylon_2022/reviews?type=top_critics
63,Hope Gap,https://www.rottentomatoes.com/m/hope_gap/reviews?type=top_critics
64,The Chosen Season 3 Finale,https://www.rottentomatoes.com/m/halloween_iii_season_of_the_witch/reviews?type=top_critics
65,Big George Foreman: The Mir…,https://www.rottentomatoes.com/m/big_george_foreman_the_miraculous_story_of_the_once_and_future_heavyweight_champion_of_the_world/reviews?type=top_critics
66,Women Talking,https://www.rottentomatoes.com/m/women_talking/reviews?type=top_critics
67,The Fabelmans,https://www.rottentomatoes.com/m/the_fabelmans/reviews?type=top_critics
68,The Nest,https://www.rottentomatoes.com/m/the_nest_2021/reviews?sort=fresh
69,Burden,ERROR
70,Wendy,https://www.rottentomatoes.com/m/wendy/reviews?type=top_critics
71,A Call to Spy,https://www.rottentomatoes.com/m/a_call_to_spy/reviews?type=top_critics
72,Golda,https://www.rottentomatoes.com/m/golda_2022/reviews?type=top_critics
73,Ammonite,https://www.rottentomatoes.com/m/ammonite/reviews?type=top_critics
74,Come Away,https://www.rottentomatoes.com/m/come_away/reviews?type=top_critics
75,Wild Mountain Thyme,https://www.rottentomatoes.com/m/wild_mountain_thyme/reviews?type=top_critics
76,The Climb,https://www.rottentomatoes.com/m/the_climb_2020/reviews?type=top_critics
