movie,reviews
Love by Drowning,ERROR
Mickey and the Bear,"""Mickey and the Bear"" unfolds languidly, allowing tension to build slowly, intimately."
Mickey and the Bear,"Every shot in ""Mickey and the Bear"" is scrupulously judged but never overworked or fussy, resulting in a movie that is as artful as it is unforced."
Mickey and the Bear,"Even at its most dire, Mickey and the Bear is tinged with an almost holy hope for all involved, a rare and remarkable feat to pull off so well for a first-time director indeed."
Mickey and the Bear,"Through these complicated dynamics, Morrone navigates her character's many highs and lows with a touching sense of authenticity."
Mickey and the Bear,The best thing one can say about Attanasio's approach to this material... is that she understands how complicated people's lives are when on the surface their issues might seem cut-and-dried.
Mickey and the Bear,Small but deeply felt.
Mickey and the Bear,"An almost perfectly realized drama that feels as if it was time-warped in from 40 or 50 years ago, when people still wanted to see movies about people living in the actual world."
Mickey and the Bear,"[A] sturdy, watchable character drama..."
Mickey and the Bear,"Mickey and the Bear explores failed ambition, familial guilt, and adolescent rebellion, and its precise execution ensures this story is one of female resilience and self-will."
Mickey and the Bear,There's undeniable emotional resonance in Annabelle Attanasio's Mickey and the Bear.
Mickey and the Bear,An assured debut that heralds a sensitive and dynamic filmmaking talent.
Mickey and the Bear,"""Mickey and the Bear"" reps an assured feature debut for Annabelle Attanasio, who wrote and directed this straightforward but skillfully nuanced drama about a troubled father-daughter relationship."
Hustlers,Hustlers is a triumph.
Hustlers,It's easy to get lost in the visceral joy that comes with watching women move this way.
Hustlers,"A heist thriller-cross-social drama, Hustlers' weight is wrapped in the veneer of diamantés and stilettos, but there is real substance here."
Hustlers,...the script and plot are dull and obvious. The attempted humour is anything but funny.
Hustlers,"The hard-boiled exchanges between the women have a genuine exuberance, recalling Hollywood movies of the 1930s where showgirls trade wisecracks backstage."
Hustlers,"As good as Lopez and her onscreen accomplice Constance Wu are, they can't act what isn't in the script; other than a dedicated work ethic, we're never given access to their thoughts."
Hustlers,"Through the peephole of Lorene Scafaria's camera, a world pirouetting on and catering to the male gratification becomes a joyous playground for women's empowerment."
Hustlers,So here come words we weren't necessarily expecting to write : give Jennifer Lopez the freaking Academy Award for Best Supporting Actress right now.
Hustlers,"With a refreshingly dynamic soundtrack and impressive costume design, it's fair to say that almost everything about the film works as intended"
Hustlers,"[It] understands its characters, understands its world...it's fun, and I thought Jennifer Lopez was very, very good."
Hustlers,Hustlers recreates the riveting crime story for a semisweet feel-good movie that's entertaining from start to finish.
Hustlers,"Hustlers is arguably the finest performance Jennifer Lopez has ever given, and there is no way for me to be unbiased about that fact. Her performance is as magnetic as it is layered, loving and warm as it is fearsome and dangerous."
Hustlers,"Constance Wu, Mette Towley, Keke Palmer, Lili Reinhart and a cameo by ex-stripper Cardi B add magic as the women go from self-help, to self-employment, to self-infliction."
Hustlers,Jennifer Lopez [is] just absolutely astounding in every single way.
Hustlers,"Lopez is captivating with all the right moves, and there's not a bad performance in the house, albeit most feel smaller."
Hustlers,J-Lo is the only reason to see it.
Hustlers,"It's meant as a compliment when strong females are called ballsy, but it would be truer to say that J-Lo's extraordinary creation is vagina-y."
Hustlers,"Hustlers is a classically made film about capital - sexual, social and financial."
Hustlers,"A lean, fierce take on the nature of female empowerment in an inherently corrupted world."
Hustlers,"This is a deeply feminist film, one where men are given less screen time than the cameoing Cardi B and Lizzo."
Hustlers,"An immediate entrant into the pantheon of female friendship movies, Hustlers-a pretty much perfect film-makes plain the hollowness of so many other iterations of girl power in studio projects. You can feel its heart beat."
Hustlers,"Hustlers is the mashup of Showgirls, Goodfellas, and The Big Short that we never knew we needed."
Hustlers,"Scafaria's film is always a blast to watch, resulting in a surprising level of emotional depth."
Hustlers,"The film is at its best when it's about the bond between the women, but it's a theme that doesn't hit home until far too late."
Hustlers,"Hustlers is a Goodfellas-style caper. But here, the fellas are easy marks. It's the women who - to quote cast member Cardi B - make the money moves. The satisfaction is undeniable."
Hustlers,"Scafaria is their champion, and her movie is their celebration, and I can't wait for audiences all over the world to get the chance to see that for themselves."
Hustlers,"At heart Hustlers is a bit retro, both a callback to the ditzy gold-diggers of the 1930s and a high-energy, montage-heavy crime caper in the Scorsese vein, as these likeable good-gals turn the tables on Wall Street's most lascivious wolves."
Hustlers,"""Hustlers"" doesn't dig as deep into the particulars of its maneuvering as it could, but it leaves its mark as a forceful piece of girl power. Don't hate the players when the game's this much fun."
Hustlers,"Yet, while it's superficially entertaining, this true-life tale of the lap dancers who drugged their clients and maxed out their credit cards is, like visiting a strip club, ultimately a bit depressing."
Hustlers,"The focus here is on the characters and their relationships, doing their best to take care of their families, both the ones by birth and the ones by choice."
Hustlers,"Hustlers has everything going for it. It's brimming with energy, respects its characters and makes you think. If you're looking for a great time at the theater that also boasts artistry and heart, Hustlers is undoubtedly one of the best options of 2019."
Hustlers,"Bawdy, lusty and in your face..."
Hustlers,"There's something delicious about the way Hustlers delivers on its promise of glitz, sex, and raunchiness while delving far enough beneath the surface to subvert the genre."
Hustlers,Hustlers asks what a movie like Goodfellas looks like with women at the center of the story.
Hustlers,"The figurative runaway limo these women are riding in is headed for a crash. But oh, the ride is glorious!"
Hustlers,"Jennifer Lopez does her best work in years, but it's Constance Wu who anchors the story with a grounded and natural performance."
Hustlers,"Hustlers, it must be said, is hustle incarnate."
Hustlers,"It's a full-fledged epic, made by and about women, and proof positive that female-centered films can flourish without being based on a pre-existing male-based IP."
Hustlers,Don't miss Hustlers. It's not only a dazzling crowd-pleaser but also one of the best films of the year hands-down.
Hustlers,"This is girlie ""Goodfellas,"" and it's an energizing instant crime classic, a shot of adrenaline cloaked in cocoa butter."
Hustlers,"Although the film is filled with strong female characters, this isn't a triumph of female empowerment, nor is it really a feminist film. It is a film of anger and sadness at the stacked decks of our social and economic structures."
Hustlers,"A solid caper movie rooted in the challenges associated with running any criminal enterprise -- a more modest version of Goodfellas, with less blood, and more skin."
Hustlers,"You root for them and for the film, which is over too quickly; you just want to hang with these women a little longer."
Hustlers,The film is remarkable for capturing a brewing conflict between women while also celebrating their connection.
Hustlers,"...a heartwarming tale of friendship, family, and shopping. Cardi B and Lizzo are brilliant in all too brief dramatic roles."
Hustlers,"When all the pieces of Hustlers come together, you're left realizing just how full an experience this film is."
Hustlers,I wish the movie had a little more of a mature exploration of what these women were feeling inside while doing these things.
Hustlers,"Lopez and company remind us there's more than one kind of story worth telling about money, sex, women and, as Burt Lancaster put it in another New York story, ""Sweet Smell of Success,"" the greedy murmur of little men."
Hustlers,"Much of the script crackles in its portrayal of both larceny and female friendship, but it frequently leaves out what seems like essential connective tissue."
Hustlers,"Hustlers is brash, often crude and unabashedly chaotic, but it is its ""buddy movie"" sensibility which ultimately wins the day. A robustly made, beautifully acted and decidedly engaging story about some unlikely heroines."
Hustlers,"Consisting of the scrappy storytelling qualities of an indie film yet having the crowd-pleasing mentality of blockbusters, Hustlers will hopefully pave the way for investment in these types of narratives."
Hustlers,"It plays like a camp version of Steve McQueen's Widows mixed with Showgirls and Lopez is unforgettable as the mink-clad strip-club diva purring: ""Climb in my fur."""
Hustlers,"A lush, lavish joy that's difficult to forget."
Hustlers,"A Best Actress Oscar nomination for Jennifer Lopez? You better believe it. As a stripper who can work a pole better than rivals half her age, Lopez is that dazzling, that deep, that electrifying. This you don't want to miss."
Hustlers,Director Lorene Scafaria evidently thought that low-grade sex and crime could be done as high-class Sturm und Drang. It can't. Unless you're Martin Scorsese in a purple streak.
Hustlers,"If you want to see JLo in her best role in 21 years, since she dallied with George Clooney in Out of Sight, you've come to the right naughty place."
Hustlers,"The movie seems to view any examination of its characters' motives, their working conditions or the consequences of their actions as a kind of betrayal."
Hustlers,"A high-heeled crime caper with rollicking energy and an emotional left hook. Think ""Goodfellas"" in glitter."
Hustlers,"In this raunchy, gloriously liberated revenge fantasy, Lopez rules with seductive, triumphant authority. Not only do we climb into her fur, we'll happily follow her anywhere."
Hustlers,"A giddily entertaining homage to female power that illuminates bold ambition in its stars and director alike, Hustlers is the kind of era-defining film that Hollywood didn't know it needed."
Hustlers,"Without treading into over-sentimentality or, worse, hollow signalling to the most well-trod tropes of female friendship on screen, Hustlers takes a more organic view of the mercurial intimacies between its lead women."
Hustlers,"Captivating, hilarious and intriguing, Hustlers is an enticing display of sisterhood, feminism, and tenacity."
Hustlers,A thrilling story filtered through the female gaze - and all the more commanding for it.
Hustlers,"[The Meddler] was [director Lorene] Scafaria's last effort behind the camera, and while it's a more than worthy showcase for her abundant talent, Hustlers rockets past it with mesmerizing exuberance."
Hustlers,"Lopez gives her most electrifying screen performance since ""Out of Sight,"" slipping the movie into her nonexistent pocket from the moment she strides out onto a neon-lighted stage in a rhinestone bodysuit."
Hustlers,Breaking the rules has never seemed so fun . . . or so necessary.
Hustlers,"Beneath all the chinchilla and body glitter, there's a smart, beating heart."
Hustlers,"It's also funny, empowering, sexy, emotional, and a bit scary, with most of those superlatives coming care of a full-force performance from Jennifer Lopez genuinely deserving of awards consideration."
Hustlers,"There is nobody to root for here, an issue that leads to checking one's watch midway through the show."
Hustlers,"An enjoyable, empowering extravaganza of physical humor, clever scriptwriting, exquisite fashion and scantily clad underdogs."
Hustlers,"""Hustlers"" humanizes the women at its center, giving them boyfriends, backstories and, most importantly, agency."
Hustlers,"Blessed with one of the most memorable entrances in recent cinema history, Lopez slinks through Hustlers with a deceptive ease, as in control of the film as her character is of her situation."
Hustlers,Scafaria validates her heroines from the start by focusing on them as women whose internal struggles and friendships with each other are far more interesting than their obvious physical allure.
Oppenheimer,"What he [Nolan] has put before our eyes definitively deserves to be seen, as does Cillian Murphy's performance in the role of Oppenheimer and the irreconcilable but fantastic Robert Downey Jr. in the role of Lewis Strauss. [Full review in Spanish]"
Oppenheimer,"This is a complex look at a complicated man, but Oppenheimer unequivocally establishes that this is a story worth telling -- and that Nolan was the perfect filmmaker to do it."
Oppenheimer,"Every scene feels like a cataclysm waiting to happen, fitting for a film that builds, step-by-step, to the creation of a cataclysm machine. Oppenheimer both summons awe for what it took to build the bomb and for the changes it wrought."
Oppenheimer,"As he corrals the world’s scientists to follow behind him Robert Oppenheimer is magnetic, more akin to a cult leader than a lowly whitecoat."
Oppenheimer,"[Nolan] captures that theoretical aspect of Oppenheimer on the screen in very personal moments... that energy, that swirl of passion in the unknown it's all there, and it is phenomenal to watch."
Oppenheimer,"Christopher Nolan’s newest film is jarring and memorable, an ode to creation and consequence."
Oppenheimer,"Everything about Christopher Nolan’s latest movie is massive. The level of shock and awe is breathtaking, but it can also be taxing."
Oppenheimer,"Befitting his paradigm-shattering protagonist, Nolan so audaciously merges form and content that he completely upends the ‘great-man’ biopic."
Oppenheimer,"Starring Cillian Murphy, and his cheekbones, the film is dense, ambitious, complex, so very long (three hours) and impressive, even if it does drag by the end."
Oppenheimer,"Thanks to Nolan and Murphy, we see the full Oppenheimer -- neither monster nor savior, victim nor villain, but in the end, just a man."
Oppenheimer,"This is a very heady, brainy spectacle. A thesis. A portrait of a genius, his triumphs and shame."
Oppenheimer,The movie is as sluggish as if Nolan were underlining the script’s most salient passages onscreen...
Oppenheimer,"This is a film with intelligence, purpose and historic value."
Oppenheimer,"It’s a movie like no other, dragging us into the collective guilt of history."
Oppenheimer,"For the most part, the film is a towering achievement."
Oppenheimer,"... scientific and historical accuracy are key. Fortunately for fans of both, ""Oppenheimer"" delivers in telling the truth about the story of the Manhattan Project, at least as much as can be expected of a Hollywood blockbuster."
Oppenheimer,"Nolan’s Oppenheimer barely qualifies as a biopic... Instead it’s a movie investigating the nature of power: how it is created, how it is kept in balance, and how it leads people into murky quandaries that refuse simplistic answers."
Oppenheimer,Christopher Nolan’s blockbuster captures the scientific triumphs and monstrous sins of the Manhattan Project.
Oppenheimer,"Not since The Master, perhaps, has a filmmaker used the large gauge to such intimate effect, making a vast canvas from one man’s troubled features."
Oppenheimer,"Nolan discards the dates and details of traditional biopic storytelling, which is a frustrating if evocative choice. He thrusts us headlong and simultaneously into the advent and fallout of the nuclear arms race with [a] nagging insistence"
Oppenheimer,"A story of ordinary men and women caught up in extraordinary times. What they created really did “change the world,” but no one here rises to the level of hero, or even tragic hero, and even the villainy on display is more vanity than anything else."
Oppenheimer,"Perhaps in trimming the story to three hours, some of the male-female narrative connective tissue was cut, which may be why, for all its fascinating moving parts, the busy biopic isn’t more emotionally explosive."
Oppenheimer,"Perhaps inevitably, it falls short of its ambitions. But it’s bracing to see a studio movie these days, particularly one with such huge scope, that at least attempts to serve up more than recycled goods."
Oppenheimer,Nolan's time-hopping structure works brilliantly in a film about men who compartmentalize their jobs as well as their being - separating ambition from morality - to propel science forward and set humanity back. Last act fumbles a jerry-rigged catharsis.
Oppenheimer,"Nolan has set out to make a moral epic, and he succeeds for the most part, or, rather, for the first two thirds of “Oppenheimer,” which contains some of the finest, most galvanizing moviemaking of his career."
Oppenheimer,"Nolan’s film... is one I couldn’t help but admire, even if, like the observers of the Trinity test, I could observe it only from a distance, at once awed and ambivalent."
Oppenheimer,"Christopher Nolan deserves every superlative for his take on J. Robert Oppenheimer (a flawless Cillian Murphy), the dark knight of the atomic age. This terrifying, transfixing epic emerges as a monumental achievement on the march into screen history."
Oppenheimer,"Nolan has crafted something so exhilarating that its more maddening aspects can’t help but stick out like a sore thumb, and I’ll be curious to discover if my opinion of the finished product improves or diminishes on a second watch."
Oppenheimer,"Mr. Nolan’s utterly enthralling film lasts three hours. But despite being as talky as a math seminar, it crackles, hurtles and whooshes, generating more suspense and excitement than anything found in the alleged climaxes of the recent superhero pictures."
Oppenheimer,"Nolan's film illuminates not only the intellectual life and complicated legacy of one of America’s most consequential scientific minds but also the array of opposing, divided systems that drove his ambition and determined his actions."
Oppenheimer,"Nolan isn't interested in scaling down or tidying up. Heck, no one expects a bomb to go off cleanly, and there's plenty to sift through in ""Oppenheimer's"" shrapnel. People will likely be going through it for years."
Oppenheimer,"With its everyone-and-the-kitchen-sink casting, alternating between color and black and white, fit-for-Imax spectacle and Ludwig Göransson’s pounding musical score, Oppenheimer seeks to overwhelm the audience, an approach that works to an extent."
Oppenheimer,"At three hours, it is too long -- as, sigh, all films are these days -- but compared with the dimension-bending twists and trickery of the films that made Nolan a superstar director, Oppenheimer feels classier, more serious."
Oppenheimer,If Hollywood is ending as we know it – and all signs on that question point to a strong “maybe” – then Oppenheimer is the ideal movie to finish us all.
Oppenheimer,"Despite being overlong and unevenly paced, Oppenheimer contains moments of greatness and features one of the most compelling lead performances (by Cillian Murphy) in recent memory."
Oppenheimer,"The movie is so vigorously directed, not only in terms of sight but also sound, that probably the best a critic can do is point you toward the experience and say, “It’s that.”"
Oppenheimer,"However you choose to view “Oppenheimer,” it’s the picture of a man who reaped everything he sowed."
Oppenheimer,What I can say for sure is that “Oppenheimer” far too often feels like a three-hour Wikipedia entry than a compelling movie.
Oppenheimer,"Though they may seem disparate, the many elements of Oppenheimer refract and reflect each other, like a bunch of atoms creating a chain reaction or a group of scientists building off each other's ideas to forge something new."
Oppenheimer,"Either despite its intense craft or because of it, Oppenheimer works."
Oppenheimer,"For all we learn about the creation and execution of the atomic bomb and its aftermath, the story could and should be told in a more digestible form. Instead, we have an overlong narrative that isn’t revelatory or surprising."
Oppenheimer,"Elevated by Cillian Murphy’s exacting performance, Nolan’s biopic on the father of the atomic bomb is majestic and morally complex."
Oppenheimer,"This is dense material that’s thoroughly engrossing and by its end, shattering."
Oppenheimer,"Murphy’s eerily handsome face, made up of angles and shadows and eyes that always seem to be telling a story that’s different from the one he’s speaking, is the film’s foundation, and his layered performance is its anchor."
Oppenheimer,"It’s Christopher Nolan’s best film so far, a step up to a new level for one of our finest filmmakers, and a movie that burns itself into your brain."
Oppenheimer,"It’s more impressive for how the director has made such a personal narrative feel epic, not just in visual breadth but in dramatic sweep, presenting a story from the past that feels knotted to so many present anxieties about nuclear annihilation."
Oppenheimer,"As a physical experience, ""Oppenheimer"" is something else entirely—it's hard to say exactly what, and that's what's so fascinating about it."
Oppenheimer,My patience wore thin as the director gave into one of his favorite indulgences: a bleeding soundscape.
Oppenheimer,Nolan's best film to date and a spectacular achievement for cinema.
Oppenheimer,"Oppenheimer is like atomic physics: Each tiny spark interlocks to create a massive, breathtaking, terrifying, conflagration."
Oppenheimer,"Christopher Nolan has done it again. He’s taken a historical story we know a bit about and turned it into an edge-of-the-seat, heart-in-the-mouth drama."
Oppenheimer,"This is a film about terrible risks and a planet likely destined to destroy itself someday. And we see it, and feel it."
Oppenheimer,The simultaneously old-school and new-school gorgeousness of Oppenheimer can’t be overstressed.
Oppenheimer,"[An] often laborious yet genuinely strange and gripping movie -- a grand spectacle inspired by some of the grimmest events in human history, and itself an invention meant to blow us all away."
Oppenheimer,"Its best moments stand out as some of the most original and exciting filmmaking of the year, highs that do a lot to counterbalance the sequences which dive back into bureaucracy and comparatively petty rivalries."
Oppenheimer,"Downey is the crucial supporting player, and he gives a shrewd, dynamic performance as the wily, insecure, powerful Strauss."
Oppenheimer,"Nolan taps the full sensory potential of moviemaking, pushing picture and sound to meet the scale of the story: clever lines dot the script; the whole project is admirably willing to wrestle with matters of great weight through cinema."
Oppenheimer,"“Oppenheimer” is a great achievement in formal and conceptual terms, and fully absorbing, but Nolan’s filmmaking is, crucially, in service to the history that it relates."
Oppenheimer,"[Nolan] has brought to life not just J. Robert Oppenheimer, but the still-crucial arguments he both started and tried to end. Oppenheimer boldly posits that those arguments are still worth having, in a film of magnitude, profundity and dazzling artistry."
Oppenheimer,"Nolan demonstrates his usual prowess for impeccable visuals and stunning craftsmanship within a deeply despairing portrait of an arrogant genius who, too late, realised the impact of his monstrous creation."
Oppenheimer,"Oppenheimer is a movie with power, texture and grace. By the end, we begin to understand its subject, even if we remain baffled by a genius who somehow divorced himself from the damage his theoretical project would do."
Oppenheimer,The movie around Murphy is simultaneously breathtaking and mind-melding.
Oppenheimer,"Simultaneously a biography, a mystery, a polemic, and a dense character study, Oppenheimer feels like the film Christopher Nolan has been preparing to make his entire career, and it may very well be his best work."
Oppenheimer,"That rare summer movie with ideas as big as its ambition and budget...But ""Oppenheimer"" isn't a movie that is dependent on special effects for its power. In a film aimed squarely at adults, Nolan keeps the focus as much on the man as the magic."
Oppenheimer,"One of the many satisfactions of Oppenheimer, Nolan’s intellectually thrilling and morally despairing new film, is that it succeeds in locating some of those conventions within another of his ingeniously constructed narrative labyrinths."
Oppenheimer,Only Nolan could make this potentially forbidding subject matter so thrilling.
Oppenheimer,"Any filmmaker can create a cinematic universe. (Many have. Too many, some might say.) Very few can show you how a genius perceives the building blocks of our universe, right before that same person imagines something that threatens our existence in it."
Oppenheimer,"The acting is uniformly brilliant, with Murphy, Downey and Blunt simply astounding."
Oppenheimer,"The filmmaker’s technique generally counterpoints any caveats and script imperfections. The ensemble cast is starry and strong. ... “Brilliance makes up for a lot,” Murphy’s Oppenheimer tells us. It sure does."
Oppenheimer,"Magnificent. Christopher Nolan’s three-hour historical biopic Oppenheimer is a gorgeously photographed, brilliantly acted, masterfully edited and thoroughly engrossing epic that instantly takes its place among the finest films of this decade."
Oppenheimer,"A juggernaut historical biopic that you'll want to see again asap, even if it doesn’t all work on the first sweep."
Oppenheimer,"It’s at once a speeding roller-coaster and a skin-tingling spiritual portrait; an often classically minded period piece that only Nolan could have made, and only now, after a quarter-century’s run-up."
Oppenheimer,"Large swathes of the film play out as political thriller, the fuel in its engine being Downey Jr’s titanic colouring of Strauss, all boorishness and manipulative charm."
Oppenheimer,Oppenheimer joins the ranks of Christopher Nolan’s best work not for preserving some essential inexplicability of nuclear physics but by undermining the idea of science’s objectivity.
